white,black,time_ratio_mean
nega-center-1,nega-pieces-2,1.3405852444898763
nega-center-1,nega-pieces-3,0.09879204804418698
nega-center-1,random,392.91014066358764
nega-center-2,mcts-05-10k-epsilon-75,0.007514540015478533
nega-center-2,mcts-05-10k-epsilon-95,0.011118851956061482
mcts-05-10k-epsilon-95,nega-aggro-2,145.52444043775276
nega-center-2,mcts-05-10k-random,0.016025846336367663
nega-center-2,mcts-10-10k-epsilon-75,0.003604049331356319
nega-center-2,mcts-10-10k-epsilon-95,0.009499562137239083
nega-center-2,mcts-10-10k-random,0.011654923396390165
nega-center-2,mcts-full-1k-random,0.008224720959282936
nega-center-2,nega-aggro-1,15.094582861500504
nega-center-2,nega-aggro-2,1.002619606078396
nega-center-2,nega-aggro-3,0.07465547812874854
nega-center-2,nega-attack-1,5.135416043798737
nega-center-2,nega-attack-2,0.3576163250394968
mcts-05-10k-epsilon-95,nega-aggro-3,6.692829068598025
nega-center-2,nega-attack-3,0.02148147199316421
nega-center-2,nega-center-1,15.29042955282362
nega-center-2,nega-center-2,1.148685056532834
nega-center-2,nega-center-3,0.0860158064573343
nega-center-2,nega-pieces-1,191.38425253968137
nega-center-2,nega-pieces-2,17.999693070677473
nega-center-2,nega-pieces-3,1.453898751426665
nega-center-2,random,4252.9469487961505
nega-center-3,mcts-05-10k-epsilon-75,0.11530828626674158
nega-center-3,mcts-05-10k-epsilon-95,0.18263123661359618
mcts-05-10k-epsilon-95,nega-attack-1,348.5804973823639
nega-center-3,mcts-05-10k-random,0.2256431882721272
nega-center-3,mcts-10-10k-epsilon-75,0.06841722227488532
nega-center-3,mcts-10-10k-epsilon-95,0.13121160903179077
nega-center-3,mcts-10-10k-random,0.189495237885419
nega-center-3,mcts-full-1k-random,0.15230680797842736
nega-center-3,nega-aggro-1,213.19872019680747
nega-center-3,nega-aggro-2,15.551927850261468
nega-center-3,nega-aggro-3,0.9589730074285956
nega-center-3,nega-attack-1,62.53365287180476
nega-center-3,nega-attack-2,5.529893392684615
mcts-05-10k-epsilon-95,nega-attack-2,52.95408867890743
nega-center-3,nega-attack-3,0.3541589403020097
nega-center-3,nega-center-1,238.3913309826997
nega-center-3,nega-center-2,14.418615712717003
nega-center-3,nega-center-3,1.0003479176722336
nega-center-3,nega-pieces-1,3009.2326712849094
nega-center-3,nega-pieces-2,260.0709225307805
